university_name,university_address,university_director_post,university_director_fio
Вінницький державний педагогічний університет імені Михайла Коцюбинського,"вул. Острозького, 32",ректор,Лазаренко Наталія Іванівна
Вінницький національний аграрний університет,"вул. Сонячна, 3",Ректор,Мазур Віктор Анатолійович
Вінницький національний медичний університет ім. М. І. Пирогова,"вул. Пирогова, 56",Ректор,Мороз Василь Максимович
Вінницький національний технічний університет,"вул. Хмельницьке шосе, 95",Ректор,Біліченко Віктор Вікторович
Донецький національний університет імені Василя Стуса,"вул. 600-річчя, 21",Ректор,Гринюк Роман Федорович
"Комунальний заклад вищої освіти ""Вінницька академія безперервної освіти""","вул. Грушевського, 13",Ректор,Дровозюк Степан Іванович
"Приватний вищий навчальний заклад ""Вінницький фінансово-економічний університет""","вул. Пирогова, 71 А",Ректор,Боднар Тетяна Петрівна
