university_name,university_address,university_director_post,university_director_fio
Вінницький кооперативний інститут,"вул. Академіка Янгеля, 59",В.о. ректора,Колотій Світлана Василівна
"Комунальний заклад вищої освіти ""Вінницький гуманітарно-педагогічний коледж""","вул. Нагірна, 13",В.о. директора,Войцехівський Костянтин Францович
"Приватний вищий навчальний заклад ""Вінницький інститут конструювання одягу і підприємництва""","просп. Космонавтів, 42",В.о. ректора,Соляніченко Микола Олександрович
